ensg	name	MEF	OSK iCD1 D0	OSK iCD1 D1	OSK iCD1 D3	OSK iCD1 D5	OSK iCD1 D8	OSK iCD1 D10	ESC 2iLIF
ENSMUSG00000015942	Gtf2ird2	100.0	167.5	102.0	177.0	144.5	80.5	111.5	127.0
ENSMUSG00000021482	Aaed1	309.0	367.5	251.0	284.0	225.0	165.5	191.0	208.5
ENSMUSG00000036632	Alg5	643.0	425.0	404.0	442.5	370.5	258.5	301.5	237.0
ENSMUSG00000020225	Tmbim4	520.0	532.0	820.5	736.5	790.5	481.5	469.0	394.0
ENSMUSG00000019961	Tmpo	2111.0	1148.5	1173.5	816.5	1299.5	3159.0	2574.5	3076.5
ENSMUSG00000059920	4930453N24Rik	498.0	253.5	237.5	247.0	264.5	358.5	250.0	563.5
ENSMUSG00000085201	Nr6a1os	82.0	79.5	33.0	35.0	45.5	60.0	31.0	0.0
ENSMUSG00000045767	B230219D22Rik	1016.0	1361.0	1721.0	1594.0	1358.0	833.0	1212.5	529.0
ENSMUSG00000020275	Rel	544.0	507.0	659.5	533.5	482.0	397.5	394.0	510.5
ENSMUSG00000021944	Gata4	42.0	42.5	13.0	2.0	4.0	0.5	21.0	77.5
ENSMUSG00000027395	Polr1b	496.0	247.5	343.5	365.5	454.5	757.5	598.0	971.5
ENSMUSG00000021194	Chga	0.0	0.0	0.0	0.5	0.0	18.0	12.0	98.0
ENSMUSG00000032558	Nphp3	147.0	152.0	75.5	91.0	37.0	73.5	194.5	223.5
ENSMUSG00000031299	Pdha1	2378.0	4104.5	3284.0	2826.5	5356.0	3646.5	2807.5	1394.0
ENSMUSG00000008305	Tle1	788.0	413.0	647.5	541.0	435.0	229.5	590.0	745.0
ENSMUSG00000029859	Epha1	185.0	1028.5	195.5	77.5	101.0	326.5	156.5	3.5
ENSMUSG00000024818	Slc25a45	10.0	11.0	13.5	32.0	53.0	19.5	9.5	4.5
ENSMUSG00000041000	Trim62	42.0	88.0	60.0	86.5	105.0	31.0	65.5	27.0
ENSMUSG00000040498	Igsf23	0.0	0.5	0.5	0.0	3.5	17.0	5.5	191.5
ENSMUSG00000040841	Six5	167.0	209.0	60.5	97.5	97.5	58.5	109.5	161.5
ENSMUSG00000055401	Fbxo6	339.0	515.0	429.0	443.5	507.5	275.0	149.5	910.0
ENSMUSG00000049036	Tmem121	112.0	113.5	74.0	27.5	14.0	13.0	17.5	118.0
ENSMUSG00000029464	Gpn3	382.0	280.0	369.0	273.5	315.0	579.0	427.0	579.5
ENSMUSG00000020227	Irak3	55.0	124.5	161.0	330.0	1415.0	529.0	297.5	158.0
ENSMUSG00000082171	Rpl27-ps2	426.0	59.5	55.5	42.0	37.5	286.0	236.5	10.0
ENSMUSG00000047037	Nipa1	147.0	207.0	154.5	135.5	88.5	42.0	40.5	108.0
ENSMUSG00000041287	Sox15	1.0	0.5	1.0	0.5	1.5	152.0	60.5	144.0
ENSMUSG00000028134	Ptbp2	1055.0	808.0	660.5	1007.5	684.5	759.5	1037.5	1208.5
ENSMUSG00000052102	Gnpda1	296.0	278.0	814.5	768.5	784.5	1103.0	586.5	954.5
ENSMUSG00000015092	Edf1	1203.0	788.5	972.0	723.0	932.5	838.5	636.0	986.0
ENSMUSG00000018761	Mpdu1	427.0	246.5	425.0	441.5	473.5	718.5	473.0	926.0
ENSMUSG00000078087	Rps12l1	359.0	163.0	189.0	103.0	87.5	364.0	299.0	169.0
ENSMUSG00000021497	Txndc15	604.0	694.0	705.5	854.0	860.0	378.5	406.5	218.5
ENSMUSG00000068115	Ninl	261.0	206.5	171.0	211.5	133.5	290.5	250.0	821.5
ENSMUSG00000031303	Map3k15	564.0	663.0	461.5	458.5	582.5	441.0	339.0	462.5
ENSMUSG00000019779	Frk	617.0	576.5	656.5	537.5	507.0	516.0	555.0	240.0
ENSMUSG00000078862	Gm14326	50.0	42.5	64.5	65.5	103.0	94.5	78.5	44.5
ENSMUSG00000027327	1700037H04Rik	493.0	453.0	613.5	528.5	542.0	656.5	486.5	983.0
ENSMUSG00000087178	A230056P14Rik	61.0	73.5	58.0	54.5	30.0	14.0	22.5	57.0
ENSMUSG00000036442	Thap11	469.0	462.5	386.0	349.5	410.0	485.0	488.5	598.0
ENSMUSG00000038213	Tapbpl	98.0	94.0	112.0	141.0	165.0	105.5	43.5	20.0
ENSMUSG00000074519	Zfp971	14.0	29.5	45.0	71.0	105.0	65.5	62.0	29.5
ENSMUSG00000031813	Mvb12a	517.0	638.5	529.0	548.0	594.5	729.0	569.5	793.5
ENSMUSG00000026109	Tmeff2	647.0	636.5	500.5	368.5	433.5	120.5	223.0	177.0
ENSMUSG00000068262	Gm5879	469.0	179.0	113.0	102.0	108.5	506.0	434.0	31.0
ENSMUSG00000054099	Slc25a40	631.0	851.5	965.5	735.5	845.0	824.0	631.5	755.0
ENSMUSG00000030337	Vamp1	43.0	158.0	105.0	109.5	98.0	81.0	127.5	114.5
ENSMUSG00000001128	Cfp	101.0	91.0	89.0	168.0	66.0	76.0	107.5	255.5
ENSMUSG00000078861	Zfp931	59.0	42.5	83.5	64.5	69.0	61.5	40.0	77.5
ENSMUSG00000025195	Dnmbp	382.0	494.5	521.0	399.5	296.0	224.5	339.0	737.5
ENSMUSG00000000392	Fap	165.0	175.5	42.0	262.0	68.0	8.0	46.5	0.0
ENSMUSG00000015709	Arnt2	318.0	404.0	317.5	263.5	333.0	186.5	293.0	139.5
ENSMUSG00000093467	Gm20659	84.0	44.5	60.5	74.5	42.0	9.5	12.5	19.0
ENSMUSG00000028047	Thbs3	646.0	516.0	436.0	839.5	439.5	209.0	423.0	27.5
ENSMUSG00000021496	Pcbd2	117.0	80.5	131.0	112.0	125.0	55.5	47.0	123.0
ENSMUSG00000029066	Mrpl20	996.0	378.0	586.5	404.0	410.5	459.0	344.5	401.5
ENSMUSG00000069223	4930451E10Rik	54.0	36.5	44.5	50.5	62.5	16.5	16.0	64.0
ENSMUSG00000000093	Tbx2	181.0	175.0	135.0	210.0	242.0	887.5	661.5	128.5
ENSMUSG00000024663	Rab3il1	211.0	62.5	100.0	135.5	32.0	9.5	52.0	164.0
ENSMUSG00000034533	Scn10a	0.0	0.0	16.0	69.0	187.5	80.0	0.0	0.0
ENSMUSG00000106099	Gm42664	164.0	407.5	309.5	519.5	362.0	371.0	411.5	309.5
ENSMUSG00000003518	Dusp3	535.0	645.0	965.5	1005.0	809.5	175.5	229.0	93.5
ENSMUSG00000079355	Ackr4	72.0	99.5	76.0	80.5	76.5	152.5	112.0	96.0
ENSMUSG00000024847	Aip	600.0	652.5	594.0	563.5	537.5	412.0	385.0	621.0
ENSMUSG00000032114	Slc37a4	145.0	215.0	182.0	193.0	244.0	198.0	194.5	178.0
ENSMUSG00000026965	Anapc2	1599.0	1591.5	1600.0	1480.0	1457.0	1081.5	1209.5	1184.5
ENSMUSG00000068267	Cenpb	2311.0	1779.5	2665.5	2586.0	2151.5	1660.0	2013.5	1222.5
ENSMUSG00000025261	Huwe1	5355.0	7529.5	9930.0	10550.0	13070.0	9930.0	10550.0	13070.0
ENSMUSG00000021301	Hecw1	42.0	106.0	45.5	12.5	15.0	46.0	13.0	1.5
ENSMUSG00000093726	Gm20667	343.0	201.0	252.5	149.0	199.0	321.5	319.5	492.5
ENSMUSG00000027329	Spef1	62.0	55.0	95.0	85.0	75.0	40.0	101.0	125.5
ENSMUSG00000053916	Nanp	101.0	47.0	53.5	48.5	31.0	60.0	49.0	109.0
ENSMUSG00000047141	Zfp654	591.0	590.0	543.5	552.5	604.5	842.5	758.0	736.0
ENSMUSG00000028175	Depdc1a	836.0	494.0	623.5	434.5	511.5	671.0	644.0	492.0
ENSMUSG00000061353	Cxcl12	2814.0	3028.0	687.5	298.5	184.5	8.0	122.0	1.0
ENSMUSG00000008450	Nutf2	1233.0	666.5	675.5	610.5	629.5	1000.5	742.0	1249.5
ENSMUSG00000086925	Gm6286	138.0	43.5	28.0	12.0	27.5	113.0	104.0	8.0
ENSMUSG00000056999	Ide	760.0	817.0	1054.5	926.0	1537.0	1475.0	901.0	1412.5
ENSMUSG00000024044	Epb41l3	2270.0	3379.5	2055.0	1472.5	1164.0	235.5	647.0	183.0
ENSMUSG00000027546	Atp9a	185.0	999.0	720.5	784.0	1253.0	1545.5	1977.5	1027.0
ENSMUSG00000039427	Alg1	386.0	289.0	378.0	404.0	460.5	301.0	268.5	416.0
ENSMUSG00000047746	Fbxo40	0.0	36.0	152.0	252.5	148.5	61.5	31.0	5.0
ENSMUSG00000025330	Padi4	0.0	0.0	0.0	0.0	4.0	85.5	13.5	91.5
ENSMUSG00000050022	Amz1	59.0	265.0	193.0	150.0	130.0	56.0	72.0	89.5
ENSMUSG00000030056	Isy1	466.0	273.0	316.5	299.5	277.5	400.0	358.0	410.5
ENSMUSG00000039873	Neurl2	23.0	20.0	51.0	65.0	41.5	7.0	7.0	21.5
ENSMUSG00000022886	Prl2a1	82.0	0.0	0.0	0.0	30.5	0.0	64.0	0.0
ENSMUSG00000090919	Pabpc4l	100.0	101.5	44.5	19.0	10.0	14.0	31.5	56.5
ENSMUSG00000054604	Cggbp1	1006.0	969.5	888.5	769.0	854.0	1582.0	1222.5	1790.5
ENSMUSG00000017760	Ctsa	2539.0	2448.0	4445.5	5912.5	4947.5	3157.5	2561.0	1966.5
ENSMUSG00000028789	Azin2	368.0	628.5	328.0	432.5	193.0	82.5	131.5	295.0
ENSMUSG00000041958	Pigs	947.0	1418.5	1259.0	1406.0	1554.5	720.5	783.5	1111.5
ENSMUSG00000037606	Osbpl5	802.0	1132.5	1302.0	1204.0	578.0	164.0	280.5	5.0
ENSMUSG00000081044	AU015836	0.0	1.5	0.0	2.0	16.5	202.5	124.0	12.0
ENSMUSG00000050428	Fbxo46	217.0	197.5	216.5	227.0	173.0	126.5	128.5	202.0
ENSMUSG00000060568	Fam78b	2.0	6.5	65.0	146.5	39.5	18.5	18.5	19.0
ENSMUSG00000083337	Gm11539	181.0	60.0	72.5	60.5	48.5	155.0	144.5	31.0
ENSMUSG00000046185	Zfp84	149.0	189.0	213.0	258.5	218.0	265.0	255.5	188.0
ENSMUSG00000087168	Gm15983	15.0	34.5	22.5	18.0	17.0	9.5	7.5	95.5
ENSMUSG00000030407	Qpctl	270.0	226.0	528.0	580.0	396.5	189.5	155.0	187.0
ENSMUSG00000022544	Eef2kmt	209.0	162.0	157.5	182.0	159.5	189.5	198.5	460.0
ENSMUSG00000058297	Spock2	5.0	39.5	5.5	102.5	702.5	445.5	927.0	114.5
ENSMUSG00000030759	Far1	1991.0	1843.0	1844.5	1654.0	1580.5	1489.0	1398.5	1339.5
ENSMUSG00000080885	Rpl10-ps6	330.0	204.0	165.0	127.0	111.0	230.0	248.5	115.5
ENSMUSG00000097145	9230114K14Rik	106.0	107.0	168.0	181.5	87.5	46.5	31.5	39.0
ENSMUSG00000000149	Gna12	1081.0	1648.5	1010.5	1071.0	902.0	530.5	780.0	584.0
ENSMUSG00000020802	Ube2o	576.0	783.5	622.5	614.0	580.0	665.5	701.5	1333.0
ENSMUSG00000025956	Mettl21a	284.0	292.0	273.0	248.5	209.5	157.5	146.5	181.0
ENSMUSG00000031007	Atp6ap2	1063.0	824.0	3039.0	3312.5	2740.5	1468.0	1052.0	627.5
ENSMUSG00000019590	Cyb561	15.0	26.0	74.5	89.5	196.5	179.5	149.5	260.5
ENSMUSG00000070777	Ceacam20	0.0	0.0	1.0	4.5	15.5	8.5	2.5	68.0
ENSMUSG00000052852	Reep1	101.0	189.5	388.0	258.0	846.0	332.0	288.5	914.0
ENSMUSG00000030323	Ift122	246.0	281.5	266.5	466.5	378.5	329.5	318.5	217.0
ENSMUSG00000011349	Dmrtc2	0.0	0.0	44.5	200.0	695.5	335.0	17.0	26.0
ENSMUSG00000059970	Hspa2	114.0	342.0	524.0	422.0	465.0	133.0	124.0	169.5
ENSMUSG00000033948	Zswim5	4.0	20.5	17.0	11.5	33.5	32.0	47.5	183.5
ENSMUSG00000070702	Csn1s1	82.0	0.0	320.5	0.0	122.0	86.5	0.0	0.0
ENSMUSG00000020273	Papolg	586.0	673.0	809.5	588.0	666.5	649.0	610.0	945.5
ENSMUSG00000106574	Gm2451	493.0	310.5	407.0	303.5	317.5	731.5	722.5	468.0
ENSMUSG00000059816	Fam159a	1.0	0.0	2.5	6.0	1.0	2.5	2.0	94.0
ENSMUSG00000062929	Cfl2	1591.0	1561.0	1021.5	1031.0	930.5	349.5	531.5	699.5
ENSMUSG00000032044	Rpusd4	225.0	136.0	145.5	104.5	129.5	218.5	190.0	362.5
ENSMUSG00000020491	2810021J22Rik	137.0	138.0	142.5	162.5	147.0	147.0	173.5	146.0
ENSMUSG00000027796	Smad9	72.0	203.5	28.5	50.5	26.0	2.0	34.5	124.0
ENSMUSG00000028597	Gpx7	546.0	378.0	318.5	283.5	170.5	77.5	142.0	381.5
ENSMUSG00000107928	Gm45140	406.0	436.0	657.5	619.0	575.5	429.5	512.5	242.0
ENSMUSG00000049536	Tceal1	79.0	84.5	42.5	45.5	49.0	25.0	32.0	20.0
ENSMUSG00000030055	Rab43	191.0	368.0	583.5	544.0	501.0	245.5	382.0	79.0
ENSMUSG00000113209	CT030142.1	63.0	168.5	118.0	128.0	162.0	21.5	40.0	30.0
ENSMUSG00000006315	Tmem147	762.0	782.5	838.5	754.0	937.5	908.5	558.0	555.5
ENSMUSG00000086477	Gm15506	11.0	41.5	41.5	27.0	29.0	33.5	54.0	37.5
ENSMUSG00000036615	Rfxap	209.0	191.5	168.0	133.0	185.5	124.5	190.0	225.5
ENSMUSG00000016833	Mrps18c	395.0	192.0	165.0	141.5	150.0	240.0	163.0	470.5
ENSMUSG00000051735	Rinl	4.0	4.0	33.5	19.5	13.0	75.5	11.5	160.0
ENSMUSG00000109341	Gm30873	17.0	124.5	22.5	14.5	33.5	4.5	9.0	10.0
ENSMUSG00000027176	Cstf3	1242.0	916.5	816.5	748.5	781.5	1068.0	898.0	1813.5
ENSMUSG00000046152	Fut10	262.0	309.5	223.0	243.0	194.5	185.5	173.5	229.5
ENSMUSG00000009406	Elk1	316.0	401.5	472.0	510.5	456.5	347.0	359.5	639.0
ENSMUSG00000040272	Accs	82.0	150.0	203.5	192.0	156.0	121.0	90.0	94.5
ENSMUSG00000037224	Zfyve28	4.0	18.5	6.5	30.5	63.5	13.0	6.0	199.5
ENSMUSG00000004842	Pou1f1	0.0	32.0	16.0	114.5	134.0	0.0	31.0	0.0
ENSMUSG00000026941	Mamdc4	242.0	196.5	205.0	277.0	295.5	266.0	242.0	352.5
ENSMUSG00000031782	Coq9	532.0	514.5	395.0	490.5	403.0	349.5	385.0	576.5
ENSMUSG00000025500	Lmntd2	2.0	19.0	4.0	8.5	18.0	97.0	34.0	80.5
ENSMUSG00000086877	A230072C01Rik	79.0	48.5	43.5	32.5	42.5	48.5	46.0	178.0
ENSMUSG00000018736	Ndel1	1114.0	1135.5	976.5	927.5	702.0	440.0	672.0	434.0
ENSMUSG00000020079	Supv3l1	389.0	261.0	277.0	286.5	268.5	438.0	337.0	728.0
ENSMUSG00000033763	Mtss1l	449.0	476.0	390.5	618.5	841.5	954.5	932.0	648.0
ENSMUSG00000001134	Uxt	130.0	91.0	93.0	80.0	86.0	104.0	85.5	238.0
ENSMUSG00000035242	Oaz1	3491.0	2894.5	3013.5	2570.5	3383.5	3607.5	3411.0	4016.5
ENSMUSG00000027603	Ggt7	114.0	199.5	104.0	166.5	388.5	164.0	118.0	120.5
ENSMUSG00000026856	Dolpp1	284.0	262.5	332.5	338.0	396.5	504.0	471.0	529.5
ENSMUSG00000029848	Stra8	0.0	0.0	0.0	0.0	0.0	1.0	10.5	470.0
ENSMUSG00000086291	Gm15513	0.0	15.5	4.5	5.5	17.0	10.0	5.5	110.5
ENSMUSG00000042423	Fbrs	674.0	650.0	732.5	804.5	738.0	556.5	831.0	460.5
ENSMUSG00000056073	Grik2	256.0	132.5	211.5	225.0	176.0	74.5	127.5	56.0
ENSMUSG00000084984	Far1os	313.0	372.0	372.0	349.5	333.0	338.0	308.0	460.5
ENSMUSG00000038637	Lrrc56	26.0	33.5	27.5	21.5	34.0	76.0	70.5	107.0
ENSMUSG00000028622	Mrpl37	644.0	466.5	469.0	441.5	429.0	695.0	555.0	854.0
ENSMUSG00000027175	Tcp11l1	158.0	383.0	405.5	431.5	709.5	199.0	164.5	136.0
ENSMUSG00000099510	Gm28501	51.0	70.5	41.5	39.5	28.0	22.0	19.5	40.0
ENSMUSG00000032513	Gorasp1	330.0	357.0	414.5	388.5	313.0	239.0	209.5	303.5
ENSMUSG00000026393	Nek7	865.0	889.5	638.5	638.0	531.0	370.5	304.0	205.0
ENSMUSG00000031781	Ciapin1	1246.0	767.5	907.0	706.5	818.5	1184.5	709.0	1476.0
ENSMUSG00000027605	Acss2	227.0	654.0	348.5	262.5	453.5	332.0	570.5	565.5
ENSMUSG00000021624	Cd180	18.0	37.5	50.0	81.0	39.0	28.5	30.5	24.5
ENSMUSG00000036504	Phpt1	216.0	182.5	177.5	222.5	255.5	212.5	180.5	311.0
ENSMUSG00000020875	Hoxb9	440.0	417.0	307.0	431.5	132.0	148.0	270.0	64.0
ENSMUSG00000041895	Wipi1	753.0	1489.0	453.0	442.5	169.5	90.5	264.5	180.0
ENSMUSG00000038949	Cnst	263.0	339.0	287.0	278.0	241.0	267.0	221.5	360.5
ENSMUSG00000051067	Lingo3	0.0	3.0	0.5	0.5	3.0	10.0	20.0	68.0
ENSMUSG00000032512	Wdr48	588.0	787.5	585.5	506.5	495.5	464.0	495.0	494.0
ENSMUSG00000034751	Mast4	662.0	1079.0	2384.0	3361.5	1697.0	902.5	1328.5	166.0
ENSMUSG00000040112	Mrps35	363.0	262.5	236.5	223.5	245.5	312.0	290.0	505.0
ENSMUSG00000072941	Sod3	82.0	103.5	84.5	79.0	46.0	3.5	21.5	0.5
ENSMUSG00000030753	Thap12	1380.0	825.0	624.5	621.0	452.0	476.5	612.5	410.0
ENSMUSG00000068856	Sf3b4	1048.0	472.0	875.0	815.0	749.0	871.5	729.5	1553.5
ENSMUSG00000057363	Uxs1	794.0	388.5	694.5	847.5	996.5	429.5	369.0	413.5
ENSMUSG00000026853	Crat	398.0	435.5	442.5	533.5	512.5	250.5	393.5	158.5
ENSMUSG00000039683	Sdk1	114.0	119.5	391.0	1057.0	136.5	44.5	98.0	11.5
ENSMUSG00000031808	Slc27a1	187.0	373.0	624.0	485.0	609.0	437.0	709.5	710.0
ENSMUSG00000045934	Mtmr11	323.0	418.0	443.5	418.5	288.0	161.0	268.0	54.0
ENSMUSG00000037938	Chchd5	164.0	177.0	172.0	172.5	179.5	193.5	144.0	421.0
ENSMUSG00000004347	Pde1c	7.0	11.5	184.5	244.5	245.0	71.5	190.5	6.5
ENSMUSG00000026278	Bok	464.0	240.5	150.0	102.0	77.5	130.0	145.0	57.5
ENSMUSG00000031099	Smarca1	477.0	572.5	263.0	279.5	199.0	212.0	319.5	314.0
ENSMUSG00000024826	Dpf2	899.0	727.0	722.5	851.5	690.0	944.5	1111.0	1228.5
ENSMUSG00000000094	Tbx4	79.0	91.0	78.0	75.0	62.5	9.5	38.0	77.0
ENSMUSG00000023723	Mrps23	596.0	388.5	397.5	364.0	382.0	420.5	311.0	464.0
ENSMUSG00000020228	Helb	132.0	291.0	164.5	203.5	306.0	685.0	500.0	703.0
ENSMUSG00000025196	Cpn1	5.0	3.0	9.5	6.5	20.0	5.0	6.5	82.5
ENSMUSG00000032324	Tspan3	1605.0	2129.5	1858.5	1888.5	1881.0	1222.0	2067.0	517.5
ENSMUSG00000017754	Pltp	179.0	274.0	497.5	828.5	547.5	453.0	332.0	892.0
ENSMUSG00000019888	Mgat4c	0.0	0.0	344.5	396.5	494.0	342.0	188.5	66.5
ENSMUSG00000030741	Spns1	718.0	623.0	1195.0	1361.5	1495.5	1633.5	1172.0	1468.0
ENSMUSG00000040649	Rimklb	8.0	4.0	0.5	1.0	0.5	47.5	69.5	648.0
ENSMUSG00000037001	Zfp39	66.0	30.0	38.5	37.0	26.0	48.5	45.0	49.5
ENSMUSG00000035215	Lsm7	787.0	347.0	543.0	473.5	532.5	806.5	663.0	1156.5
ENSMUSG00000027763	Mbnl1	2129.0	2310.5	1944.0	1958.5	1816.5	605.5	1005.5	107.0
ENSMUSG00000026694	Mettl13	327.0	228.0	295.0	293.0	352.0	281.5	255.5	329.0
ENSMUSG00000082274	Gm14026	84.0	58.0	68.0	44.5	54.0	48.0	38.0	13.5
ENSMUSG00000097204	Gm17690	151.0	149.0	170.0	158.0	112.0	52.0	93.5	20.5
ENSMUSG00000026083	Eif5b	3778.0	1241.5	2024.0	1563.5	1668.5	2333.0	2206.0	938.5
ENSMUSG00000028517	Plpp3	572.0	471.0	714.5	718.5	344.5	442.0	426.5	470.5
ENSMUSG00000030237	Slco1a4	129.0	0.0	0.0	54.0	0.0	44.0	0.0	0.0
ENSMUSG00000048222	Mfap1b	587.0	470.0	491.0	558.5	560.0	736.0	656.5	438.0
ENSMUSG00000093701	Gm21970	142.0	190.0	162.0	148.5	106.5	59.0	73.0	66.5
ENSMUSG00000049971	Glt1d1	0.0	0.0	1.0	0.5	3.5	116.5	78.5	320.0
ENSMUSG00000022969	Il10rb	204.0	243.0	262.0	228.0	154.5	58.5	97.5	44.0
ENSMUSG00000055093	Gm8430	504.0	270.5	253.0	184.0	125.5	309.0	367.5	179.0
ENSMUSG00000085925	Rtl1	47.0	25.0	95.0	72.0	28.5	17.5	6.0	20.5
ENSMUSG00000105558	Gm5855	1198.0	266.5	360.5	230.0	344.0	2005.0	1635.5	12.5
ENSMUSG00000074657	Kif5a	34.0	44.0	88.0	106.5	105.0	180.5	199.0	425.5
ENSMUSG00000030225	Dera	512.0	294.5	360.5	330.5	273.0	411.0	345.0	830.0
ENSMUSG00000056648	Hoxb8	194.0	214.0	180.5	288.0	132.5	153.0	248.5	0.5
ENSMUSG00000027610	Gss	574.0	305.5	843.5	625.5	642.5	533.5	413.5	954.5
ENSMUSG00000023047	Amhr2	5.0	0.0	2.0	1.0	2.0	7.0	9.0	214.0
ENSMUSG00000022971	Ifnar2	445.0	532.5	378.0	358.0	320.0	216.5	287.5	189.5
ENSMUSG00000004096	Cwc15	1352.0	765.0	718.0	657.0	727.5	820.0	563.0	906.0
ENSMUSG00000036270	Edc4	1012.0	992.0	932.5	1098.5	1000.5	1406.0	1415.5	1222.0
ENSMUSG00000026634	Angel2	316.0	310.5	299.5	384.5	382.5	404.0	338.5	524.5
ENSMUSG00000045790	Ccdc149	66.0	73.5	132.0	112.5	133.0	40.5	68.0	6.5
ENSMUSG00000029082	Bst1	4.0	23.0	12.0	28.0	86.5	81.5	29.0	44.0
ENSMUSG00000013736	Trnt1	610.0	331.5	428.0	429.5	425.5	482.5	435.0	433.5
ENSMUSG00000029416	Slc15a4	293.0	355.5	479.5	343.0	564.5	246.0	294.0	318.5
ENSMUSG00000025328	Padi3	0.0	0.0	0.0	0.0	0.0	2.0	0.0	129.5
ENSMUSG00000034610	Zcchc11	858.0	807.5	642.5	654.0	586.0	819.5	1055.0	1176.0
ENSMUSG00000052962	Mrpl35	395.0	197.5	175.5	148.5	135.5	227.0	187.5	635.5
ENSMUSG00000031644	Nek1	179.0	284.5	129.5	151.0	143.5	258.0	244.0	217.5
ENSMUSG00000011831	Evi5	496.0	790.5	1093.0	1149.5	911.0	659.0	714.5	539.5
ENSMUSG00000047473	Zfp30	114.0	144.5	99.0	98.5	99.5	66.0	105.5	126.0
ENSMUSG00000069011	Gm10254	65.0	27.5	41.0	34.5	36.0	57.5	43.5	39.5
ENSMUSG00000026082	Rev1	322.0	238.0	357.5	573.5	379.0	569.0	605.5	669.0
ENSMUSG00000068394	Cep152	223.0	152.0	215.0	153.5	242.5	331.5	273.0	260.0
ENSMUSG00000024014	Pim1	312.0	728.5	101.5	124.5	198.0	379.5	310.0	3054.0
ENSMUSG00000039753	Fbxl5	410.0	607.0	673.5	736.5	622.5	974.5	892.5	1116.0
