ensg	name	loc	tss_loc	strand
ENSMUSG00000088908	Gm25433	chr9:80037429-80037714		1
ENSMUSG00000088535	Gm24997	chr3:44983200-44983304		1
ENSMUSG00000098376	Mir6907	chr10:78408475-78408545		-1
ENSMUSG00000096784	Gm24643	chr15:89888952-89889052		-1
ENSMUSG00000098285	Mir7670	chr6:38507325-38507393		1
ENSMUSG00000088601	Gm24190	chr19:18776746-18776961		-1
ENSMUSG00000084568	Gm26480	chr12:96255941-96256237		-1
ENSMUSG00000105025	Rnu3b1	chr11:87443237-87443451		1
ENSMUSG00000088766	Gm24394	chr14:36612117-36612239		1
ENSMUSG00000064408	Gm23924	chr6:74451797-74451904		-1
ENSMUSG00000077602	Gm22672	chr16:24884173-24884306		1
ENSMUSG00000095868	Gm23136	chr9:64176661-64176759		1
ENSMUSG00000099005	Mir6398	chr4:123616420-123616521		1
ENSMUSG00000096423	Gm24978	chr4:16675923-16676029		1
ENSMUSG00000064624	Gm22305	chr8:86671236-86671343		-1
ENSMUSG00000065451	Mir101a	chr4:101346945-101347027		-1
ENSMUSG00000099232	Gm27884	chr7:130527251-130527326		-1
ENSMUSG00000088860	Mir1947	chr16:33105361-33105445		1
ENSMUSG00000065579	Mir425	chr9:108568777-108568861		1
ENSMUSG00000052469	Tcp10c	chr17:13354572-13377223		1
ENSMUSG00000088331	Gm22846	chr8:94698016-94698285		-1
ENSMUSG00000084555	Gm25270	chr4:133797582-133797719		-1
ENSMUSG00000065013	Gm23508	chr12:109653033-109653104		1
ENSMUSG00000093283	Gm22567	chr18:65427469-65427810		1
ENSMUSG00000099097	Gm27341	chrX:26579877-26579982		-1
ENSMUSG00000088791	Gm22542	chr17:88342388-88342482		-1
ENSMUSG00000065090	Gm23677	chr8:115591170-115591273		-1
ENSMUSG00000095453	n-R5s149	chr8:123621928-123622046		-1
ENSMUSG00000092908	Gm25731	chr17:65509368-65509492		1
ENSMUSG00000093207	Gm22414	chr7:18017252-18017352		-1
ENSMUSG00000076138	Gm26377	chr9:78478528-78478635		-1
ENSMUSG00000076371	Gm22368	chrX:167028889-167028997		-1
ENSMUSG00000065389	Gm23100	chr7:110003578-110003718		1
ENSMUSG00000089490	Gm26362	chr6:111992110-111992424		1
ENSMUSG00000024261	Syt4	chr18:31437808-31447415		-1
ENSMUSG00000098422	Mir7016	chr4:129684500-129684571		-1
ENSMUSG00000088284	Gm23588	chr9:70517200-70517298		1
ENSMUSG00000065610	Mir29a	chr6:31062660-31062747		-1
ENSMUSG00000089021	Gm25012	chr14:40009902-40010065		1
ENSMUSG00000087747	Gm25151	chr1:171308047-171308137		1
ENSMUSG00000052031	Tagap1	chr17:6954965-6961156		-1
ENSMUSG00000080500	Gm22072	chr2:10465287-10465407		1
ENSMUSG00000093782	Gm22396	chr1:82839446-82839498		1
ENSMUSG00000077438	Gm22595	chr9:103022337-103022466		-1
ENSMUSG00000087863	Gm24442	chr6:4382878-4383204		1
ENSMUSG00000077312	Gm24170	chr4:73589082-73589214		-1
ENSMUSG00000088634	Gm24958	chr11:5038211-5038307		1
ENSMUSG00000075770	Gm22589	chr17:35242678-35242754		1
ENSMUSG00000065381	Gm23096	chr3:49658763-49658869		1
ENSMUSG00000077359	Gm25308	chr2:118077805-118077962		-1
ENSMUSG00000092852	Mir5103	chr1:34433121-34433199		-1
ENSMUSG00000088090	Gm23668	chr9:60042069-60042179		-1
ENSMUSG00000089280	Gm26025	chr11:57969342-57969612		1
ENSMUSG00000064854	Gm24527	chr13:106780114-106780220		-1
ENSMUSG00000065862	Gm24029	chr11:69667834-69667976		-1
ENSMUSG00000065527	Mir93	chr5:138165523-138165610		-1
ENSMUSG00000099202	Mir7017	chr4:133195655-133195716		1
ENSMUSG00000104700	Gm26379	chr4:74635219-74635350		1
ENSMUSG00000095149	Gm24390	chr15:72490958-72491019		-1
ENSMUSG00000088872	Gm25865	chr12:30457968-30458071		-1
ENSMUSG00000095491	Gm24088	chr7:59410933-59411011		-1
ENSMUSG00000099273	Gm27452	chr4:80967444-80967539		1
ENSMUSG00000094184	Mir743b	chrX:66777256-66777332		-1
ENSMUSG00000077558	Gm23705	chrX:42681757-42681886		-1
ENSMUSG00000065420	Mir142b	chr11:87756841-87756955		-1
ENSMUSG00000076399	Mir450-2	chrX:53048299-53048367		-1
ENSMUSG00000067872	Ccdc87	chr19:4839366-4842528		1
ENSMUSG00000088914	Gm22605	chr4:92866475-92866582		-1
ENSMUSG00000080374	Gm22953	chr2:121450670-121450770		-1
ENSMUSG00000077217	Gm23951	chr11:83366870-83367001		-1
ENSMUSG00000065447	Mir302d	chr3:127545624-127545689		1
ENSMUSG00000065346	Gm25582	chr9:95624502-95624611		1
ENSMUSG00000093000	Gm24155	chr3:118434721-118434830		1
ENSMUSG00000098712	Mir7010	chr3:82106247-82106309		-1
ENSMUSG00000065005	n-R5s79	chr10:88710008-88710127		-1
ENSMUSG00000023892	Zfp51	chr17:21450352-21465591		1
ENSMUSG00000099172	Mir3620	chrX:150547385-150547445		-1
ENSMUSG00000087917	Gm24911	chr6:67804375-67804510		-1
ENSMUSG00000064714	n-R5s62	chr12:82150468-82150563		1
ENSMUSG00000089310	Gm23181	chr1:95039934-95040043		-1
ENSMUSG00000098929	Mir6400	chr4:15942900-15942991		-1
ENSMUSG00000077507	Gm24235	chr5:54827215-54827343		1
ENSMUSG00000065574	Mir203	chr12:112130880-112130955		1
ENSMUSG00000065892	Gm24521	chr19:12665255-12665361		1
ENSMUSG00000049916	2610318N02Rik	chr16:17113399-17125106		-1
ENSMUSG00000088027	Gm22144	chr19:23643409-23643510		1
ENSMUSG00000089520	Gm23831	chr3:39799632-39799716		-1
ENSMUSG00000095205	Snord93	chr5:23852210-23852280		1
ENSMUSG00000094801	n-R5s113	chr8:123560888-123561006		-1
ENSMUSG00000077456	Gm22927	chr11:71848076-71848206		-1
ENSMUSG00000098589	Gm27353	chr9:73005201-73005322		1
ENSMUSG00000064450	Snord68	chr8:123103038-123103123		1
ENSMUSG00000088051	Gm26150	chr8:36406094-36406244		-1
ENSMUSG00000088563	Gm23779	chr13:21486338-21486401		-1
ENSMUSG00000077337	Gm23012	chr13:75691972-75692054		1
ENSMUSG00000094710	Gm22823	chr14:41247686-41247792		1
ENSMUSG00000105932	Mir6925	chr11:70705990-70706059		1
ENSMUSG00000088436	Gm25382	chr10:17116804-17116900		1
ENSMUSG00000070138	Mir452	chrX:72262224-72262308		-1
ENSMUSG00000088192	Gm23904	chr8:86233854-86233977		1
ENSMUSG00000099123	Mir6965	chr17:24240884-24240947		-1
ENSMUSG00000089187	Gm22949	chr14:49573214-49573318		-1
ENSMUSG00000065256	Gm23972	chr13:39858863-39859027		-1
ENSMUSG00000094599	Snord116l3	chr7:59892111-59892204		-1
ENSMUSG00000073761	4933427I04Rik	chr4:123859679-123863165		1
ENSMUSG00000099317	Gm27610	chr17:85614662-85614735		1
ENSMUSG00000094824	Gm23803	chr10:59817666-59817797		-1
ENSMUSG00000106163	Gm26047	chr4:106118968-106119082		-1
ENSMUSG00000087777	Gm22321	chr6:33088646-33088749		-1
ENSMUSG00000105814	Mir703	chr5:98475556-98475664		-1
ENSMUSG00000094170	Gm21170	chrY:47669242-47691098		-1
ENSMUSG00000105494	Gm44310	chr15:36583544-36583669		1
ENSMUSG00000070063	Snora33	chr10:23785347-23785475		-1
ENSMUSG00000098998	Gm27913	chr15:62038029-62038201		1
ENSMUSG00000065061	Gm22884	chr11:55482694-55482833		1
ENSMUSG00000096828	Gm3618	chr14:6314876-6343678		-1
ENSMUSG00000096142	Gm25817	chr7:32917146-32917266		1
ENSMUSG00000064956	Gm24918	chr9:3352657-3352786		1
ENSMUSG00000092907	Mir5132	chrX:74023528-74023598		-1
ENSMUSG00000065226	Gm25791	chr9:15314845-15314981		1
ENSMUSG00000077243	Gm23270	chr18:58615359-58615489		-1
ENSMUSG00000077096	Gm22015	chr12:91791610-91791674		-1
ENSMUSG00000094521	Gm22911	chr10:38615375-38615481		-1
ENSMUSG00000065457	Mir383	chr8:38252133-38252202		-1
ENSMUSG00000095193	Gm20939	chr17:94873986-94877497		1
ENSMUSG00000080668	Gm24999	chr13:60293672-60293772		1
ENSMUSG00000090777	Ccdc188	chr16:18218170-18219313		1
ENSMUSG00000088472	Gm23079	chr6:123808105-123808221		-1
ENSMUSG00000098961	Mir6949	chr14:56082401-56082468		-1
ENSMUSG00000098494	Gm27690	chr6:107448819-107448944		-1
ENSMUSG00000077280	Gm25764	chr10:129302091-129302224		1
ENSMUSG00000077283	n-R5s158	chr7:128774846-128774963		-1
ENSMUSG00000105100	Gm44349	chr11:69980692-69980814		1
ENSMUSG00000065220	Gm25794	chr10:79703484-79703590		-1
ENSMUSG00000065599	Mir23b	chr13:63300484-63300557		1
ENSMUSG00000096241	Gm24267	chr1:107756602-107756708		-1
ENSMUSG00000024306	Ccdc178	chr18:21810897-22171396		-1
ENSMUSG00000098614	Gm27301	chr13:56703641-56703767		1
ENSMUSG00000039628	Hs3st6	chr17:24753003-24758683		1
ENSMUSG00000064671	Gm22807	chr11:20847753-20847881		-1
ENSMUSG00000098686	Mir6973b	chr2:131040319-131040398		-1
ENSMUSG00000065864	Gm24031	chr14:26497655-26497785		1
ENSMUSG00000096694	Gm23190	chr12:116242504-116242567		-1
ENSMUSG00000095477	Gm25076	chr5:118266449-118266580		1
ENSMUSG00000084642	Gm24384	chr18:63909082-63909156		-1
ENSMUSG00000077537	Gm22544	chr8:76021929-76022055		-1
ENSMUSG00000096683	Gm25988	chr7:59428665-59428743		-1
ENSMUSG00000098776	Gm27438	chr2:87256795-87256904		-1
ENSMUSG00000064796	Terc	chr3:96414437-96414859		-1
ENSMUSG00000087759	Gm23465	chr3:100738452-100738713		-1
ENSMUSG00000104743	Gm44493	chr8:27615817-27615904		1
ENSMUSG00000077449	Gm23127	chr13:75768068-75768197		1
ENSMUSG00000089190	Gm25771	chr1:122553173-122553316		1
ENSMUSG00000065828	Gm26317	chrX:162069457-162069563		1
ENSMUSG00000084739	Gm22067	chr15:81592093-81592199		1
ENSMUSG00000064806	Gm24038	chrX:48230286-48230444		1
ENSMUSG00000092815	Mir3099	chr7:6803587-6803670		1
ENSMUSG00000094390	Gm23400	chr17:82235877-82235978		1
ENSMUSG00000088015	Mir1932	chr11:119390472-119390561		1
ENSMUSG00000022761	Lztr1	chr16:17508968-17526331		1
ENSMUSG00000065734	Snord49a	chr11:62603450-62603521		1
ENSMUSG00000080615	Snord99	chr4:132310691-132310764		1
ENSMUSG00000092720	Gm25675	chr12:119919324-119919441		-1
ENSMUSG00000099257	Mir6342	chr1:29421488-29421612		1
ENSMUSG00000089008	Gm23859	chr18:90228899-90228962		1
ENSMUSG00000094656	Gm25358	chrX:102801184-102801284		1
ENSMUSG00000064613	Gm24621	chr4:129458351-129458490		1
ENSMUSG00000024941	Scyl1	chr19:5758427-5771401		-1
ENSMUSG00000054843	Atrnl1	chr19:57611034-58133338		1
ENSMUSG00000098719	Mir7212	chr15:25948227-25948287		1
ENSMUSG00000070023	Gm10283	chr8:60430024-60503198		-1
ENSMUSG00000098253	Mir7219	chr18:68260920-68260973		-1
ENSMUSG00000098677	Mir7684	chr15:82393919-82393978		-1
ENSMUSG00000095314	Gm25462	chr7:59498041-59498119		-1
ENSMUSG00000093052	Gm24816	chr6:90681370-90681520		-1
ENSMUSG00000037815	Ctnna1	chr18:35118888-35254773		1
ENSMUSG00000065084	Gm26496	chr2:126109908-126110014		-1
ENSMUSG00000092829	Gm23159	chr4:76958422-76958498		-1
ENSMUSG00000088060	Gm24475	chr17:74000860-74001002		1
ENSMUSG00000089580	Gm23340	chr13:24316730-24316852		-1
ENSMUSG00000098710	Mir7067	chr8:70895508-70895570		-1
ENSMUSG00000077146	Gm22939	chr6:43887194-43887324		1
ENSMUSG00000098474	Mir6919	chr11:50232245-50232306		1
ENSMUSG00000064855	Gm24526	chr9:63027560-63027717		1
ENSMUSG00000094438	Gm23618	chr7:59568964-59569042		-1
ENSMUSG00000054648	Zfp869	chr8:69706332-69710724		-1
ENSMUSG00000038002	Cramp1l	chr17:24961228-25015230		-1
ENSMUSG00000104758	Mir691	chr16:74341990-74342067		-1
ENSMUSG00000088099	Gm23673	chr3:124848589-124848886		1
ENSMUSG00000077453	Gm25915	chrX:142485322-142485447		-1
ENSMUSG00000098696	Gm27617	chr14:35569953-35570120		1
ENSMUSG00000076233	Gm22761	chr2:103843418-103843513		-1
ENSMUSG00000077575	Gm24888	chr7:109521280-109521409		1
ENSMUSG00000093408	Mir5617	chrX:20863126-20863182		-1
ENSMUSG00000089234	Gm22207	chr8:12356153-12356469		1
ENSMUSG00000088438	Gm25387	chr11:27318847-27318978		-1
ENSMUSG00000088984	Gm25604	chr4:126860980-126861112		-1
ENSMUSG00000089197	Gm25767	chr5:36671658-36671781		1
ENSMUSG00000093212	Gm25249	chr7:64956499-64956576		-1
ENSMUSG00000076129	Gm22920	chr11:102659572-102659680		-1
ENSMUSG00000088538	Gm23276	chr14:97336495-97336632		-1
ENSMUSG00000088143	Gm24720	chr18:83355199-83355364		-1
ENSMUSG00000098578	Gm27449	chr2:133330924-133330982		1
ENSMUSG00000089462	Gm23149	chr2:78550508-78550737		-1
ENSMUSG00000088384	Gm24690	chr18:38356578-38356674		1
ENSMUSG00000098859	Gm27389	chr7:143273053-143273247		1
ENSMUSG00000087718	Gm22236	chr10:110904795-110904900		-1
ENSMUSG00000098731	Mir7027	chr5:114404468-114404539		1
ENSMUSG00000065561	Mir369	chr12:109743418-109743496		1
ENSMUSG00000065004	Gm26326	chr12:43743037-43743165		1
ENSMUSG00000065612	Mir151	chr15:73254815-73254882		-1
ENSMUSG00000080529	Gm23882	chr18:35952824-35952907		1
ENSMUSG00000092997	Gm23917	chr7:61733685-61733782		-1
ENSMUSG00000080396	Snord111	chr8:110838528-110838616		-1
ENSMUSG00000098489	Mir7678	chr2:164354313-164354383		-1
ENSMUSG00000057577	Gm10025	chr5:48924116-48924491		1
ENSMUSG00000092747	Gm22180	chr4:136609806-136609864		-1
ENSMUSG00000064670	Gm22808	chr16:87621014-87621120		-1
ENSMUSG00000096838	Gm26232	chr3:96450446-96450611		1
ENSMUSG00000104628	Gm44319	chr2:159069863-159069955		1
ENSMUSG00000065804	Gm23039	chr11:47912385-47912545		-1
ENSMUSG00000076460	Mir744	chr11:65734733-65734832		-1
ENSMUSG00000094842	Gm22639	chr4:44865307-44865431		1
ENSMUSG00000064394	Gm23622	chr14:75651423-75651529		-1
ENSMUSG00000065865	Gm24030	chr1:117536301-117536464		1
ENSMUSG00000106587	Gm47311	chr3:96239868-96240005		1
ENSMUSG00000050239	Krtap24-1	chr16:88610709-88612279		-1
ENSMUSG00000096731	Gm24316	chr14:50731053-50731159		1
ENSMUSG00000099248	Gm27543	chr6:52249299-52249475		1
ENSMUSG00000065027	Gm25201	chr17:47840816-47840985		-1
ENSMUSG00000099323	Gm28016	chr13:108498775-108498970		-1
ENSMUSG00000077148	Gm22935	chr3:89097910-89098013		-1
ENSMUSG00000096564	Gm24099	chr4:112590772-112590878		-1
ENSMUSG00000024588	Fech	chr18:64456550-64489066		-1
ENSMUSG00000064960	Gm24406	chr3:144586825-144586952		-1
ENSMUSG00000106418	Gm44397	chr17:56172013-56172125		-1
ENSMUSG00000095660	Gm22274	chr7:59565218-59565296		-1
ENSMUSG00000065470	Mir149	chr1:92850378-92850443		1
ENSMUSG00000104683	Gm44385	chr5:141029928-141030008		1
ENSMUSG00000089425	Gm26006	chr14:98260745-98260825		-1
ENSMUSG00000065768	Gm23845	chr4:129895573-129895724		1
ENSMUSG00000093280	Mir2861	chr2:32712807-32712888		-1
ENSMUSG00000080350	Gm26248	chr7:11303218-11303338		-1
ENSMUSG00000076357	Mir653	chr6:3721301-3721385		-1
ENSMUSG00000093499	Gm25442	chr3:35325614-35325705		1
ENSMUSG00000064831	Gm25698	chr11:16732605-16732711		-1
ENSMUSG00000088748	Gm23219	chr11:78824387-78824473		1
ENSMUSG00000064728	Gm25851	chrX:58357952-58358058		-1
ENSMUSG00000080358	Gm26249	chr9:44897865-44897982		1
ENSMUSG00000087846	Gm25625	chr6:30347371-30347466		-1
ENSMUSG00000087929	Gm23234	chr6:100494681-100494814		-1
ENSMUSG00000087817	Gm22492	chr9:113403475-113403771		1
ENSMUSG00000088779	Gm26034	chr1:132100639-132100754		1
ENSMUSG00000093241	Mir3108	chr8:108936860-108936938		1
ENSMUSG00000095513	Gm24136	chr3:96422733-96422897		1
ENSMUSG00000087708	Gm23000	chrX:66728415-66728553		1
ENSMUSG00000098820	Gm27284	chr12:59237107-59237176		-1
ENSMUSG00000065607	Mir331	chr10:93963768-93963863		-1
ENSMUSG00000077514	Gm25877	chr4:103586272-103586400		-1
ENSMUSG00000105908	Mir6920	chr11:53409197-53409267		1
ENSMUSG00000040828	Catsperd	chr17:56628143-56664456		1
ENSMUSG00000064487	Gm23736	chr12:109680800-109680874		1
ENSMUSG00000065845	Gm25189	chr2:117248271-117248434		1
ENSMUSG00000077241	Gm23272	chr6:143465269-143465397		-1
ENSMUSG00000095749	n-R5s141	chr8:123608320-123608438		-1
ENSMUSG00000036904	Fzd8	chr18:9212856-9216201		1
ENSMUSG00000065260	Gm23453	chr1:33422733-33422838		1
ENSMUSG00000096031	Gm23189	chr1:67973676-67973777		1
ENSMUSG00000065083	n-R5s205	chr2:120640711-120640835		-1
ENSMUSG00000094837	Gm25471	chr7:59761554-59761647		-1
ENSMUSG00000065807	Gm23038	chr3:155788365-155788468		-1
ENSMUSG00000077119	Mir741	chrX:66796805-66796875		-1
ENSMUSG00000089175	Gm22433	chr3:63152217-63152358		1
ENSMUSG00000077586	Gm24377	chr12:59665654-59665784		-1
ENSMUSG00000089279	Gm24554	chr15:30004062-30004134		-1
ENSMUSG00000094659	Mir466c-2	chr2:10483966-10484055		1
ENSMUSG00000088383	Gm24687	chrX:152868620-152868860		1
ENSMUSG00000089028	Gm25010	chr4:43201149-43201213		-1
ENSMUSG00000095942	Gm25198	chr1:88015924-88016033		1
ENSMUSG00000096561	Gm24097	chr5:104936651-104936757		1
ENSMUSG00000088533	Gm24998	chr14:34106156-34106244		1
ENSMUSG00000065771	n-R5s54	chr13:52964621-52964732		-1
ENSMUSG00000093173	Gm23872	chr12:108721848-108721924		-1
ENSMUSG00000093355	Snora26	chr5:74093530-74093650		1
ENSMUSG00000092922	Mir5101	chr12:75909103-75909185		1
ENSMUSG00000024423	Impact	chr18:12972252-12992948		1
ENSMUSG00000088278	Gm23121	chrX:77579487-77579659		1
ENSMUSG00000092923	Gm24561	chr2:168178158-168178252		-1
ENSMUSG00000105435	Gm44355	chr9:75911422-75911525		1
ENSMUSG00000064755	Gm26328	chr14:52342777-52342883		1
ENSMUSG00000088996	Gm22765	chr18:9614314-9614441		1
ENSMUSG00000096673	Gm24520	chr7:17610766-17610875		1
ENSMUSG00000077521	Gm25378	chr4:28365316-28365444		1
ENSMUSG00000077356	Gm26288	chr7:58148096-58148227		-1
ENSMUSG00000084688	n-R5s43	chr15:100449684-100449793		1
ENSMUSG00000106642	Mir465d	chrX:66822656-66822713		-1
ENSMUSG00000065449	Mir365-1	chr16:13453840-13453926		1
ENSMUSG00000025050	Pcgf6	chr19:47033619-47050845		-1
ENSMUSG00000096037	n-R5s136	chr8:123599861-123599979		-1
ENSMUSG00000095175	Gm22722	chr6:123539901-123540032		-1
ENSMUSG00000065590	Mir212	chr11:75173388-75173478		1
ENSMUSG00000064781	Gm22686	chrX:82187682-82187781		1
ENSMUSG00000024260	Sap130	chr18:31634371-31723061		1
ENSMUSG00000095945	Gm25194	chr7:59576449-59576527		-1
ENSMUSG00000096191	Gm26135	chr9:88857693-88857764		-1
ENSMUSG00000105210	Mir3544	chr12:109585813-109585873		-1
ENSMUSG00000098695	Gm27618	chr15:82782082-82782141		-1
ENSMUSG00000096195	Gm26138	chr4:57877389-57877495		-1
ENSMUSG00000099300	Mir6356	chr18:68739400-68739501		1
ENSMUSG00000077698	Snord12	chr2:167065276-167065365		1
ENSMUSG00000089161	Gm24130	chr13:65158258-65158408		1
ENSMUSG00000073639	Rab18	chr18:6765205-6790231		1
ENSMUSG00000065191	Gm23458	chr5:123360832-123361000		1
ENSMUSG00000064738	Gm23054	chr3:88862919-88863080		1
ENSMUSG00000087911	Gm24913	chr4:132931211-132931317		-1
ENSMUSG00000093158	Gm25036	chr18:47154373-47154422		1
