ensg	name	tss_loc	strand	ivd cardio CM	ivd cardio ESC	ivd cardio MES	ivd exendo ctrl	ivd exendo prdm14kd	ivd mneu ESCD0	ivd mneu MND4	ivd ra ctrl	ivd ra D4
ENSMUSG00000060568	Fam78b	chr1:167001432-167001432	1	51.0	14.0	65.0	2.0	4.0	84.5	1052.5	5.5	35.0
ENSMUSG00000022685	Parn	chr16:13668170-13668170	-1	1452.0	1542.0	1707.0	1386.0	1316.0	1665.5	560.5	1377.5	833.5
ENSMUSG00000054074	Skida1	chr2:18044572-18044572	-1	188.0	38.0	108.0	112.0	55.0	229.0	922.0	98.0	249.5
ENSMUSG00000022031	Elp3	chr14:65593112-65593112	-1	3356.0	4082.0	4747.0	4575.0	4544.0	4390.5	3558.5	3856.0	2117.0
ENSMUSG00000017485	Top2b	chr14:16365179-16365179	1	6102.0	2396.0	4345.0	3093.0	2598.0	2419.0	16216.5	1825.0	6156.5
ENSMUSG00000024261	Syt4	chr18:31447415-31447415	-1	17.0	174.0	231.0	213.0	229.0	551.5	2837.5	321.5	46.0
ENSMUSG00000027499	Pkia	chr3:7366669-7366669	1	617.0	239.0	727.0	42.0	165.0	704.0	6158.0	283.0	553.0
ENSMUSG00000070283	Ndufaf3	chr9:108567434-108567434	-1	237.0	459.0	314.0	206.0	193.0	931.0	568.5	327.5	137.0
ENSMUSG00000029826	Zc3hav1	chr6:38354273-38354273	-1	133.0	886.0	825.0	1935.0	1012.0	112.5	44.0	1300.0	941.5
ENSMUSG00000031697	Orc6	chr8:85299632-85299632	1	579.0	2055.0	2056.0	2382.0	2421.0	2753.5	1177.5	1932.0	1398.5
ENSMUSG00000039910	Cited2	chr10:17723228-17723228	1	2979.0	1312.0	2318.0	1341.0	1961.0	1429.0	661.0	1356.0	5831.0
ENSMUSG00000002957	Ap2a2	chr7:141562180-141562180	1	4832.0	4091.0	3791.0	6131.0	6296.0	3723.5	4872.5	6079.5	10944.0
ENSMUSG00000024258	Polr2d	chr18:31789159-31789159	1	771.0	998.0	2172.0	841.0	755.0	2537.0	1678.5	2048.5	1091.0
ENSMUSG00000040112	Mrps35	chr6:147042764-147042764	1	571.0	1076.0	793.0	803.0	790.0	1176.0	598.0	984.0	411.5
ENSMUSG00000067713	Prkag1	chr15:98831508-98831508	-1	1189.0	892.0	1004.0	757.0	759.0	963.0	964.0	976.0	1262.0
ENSMUSG00000073568	Arl14epl	chr18:46925982-46925982	1	20.0	90.0	11.0	991.0	661.0	42.0	4.0	396.5	30.0
ENSMUSG00000014905	Dnajb9	chr12:44210068-44210068	-1	751.0	329.0	431.0	353.0	266.0	351.5	491.0	372.5	558.5
ENSMUSG00000039183	Nubp2	chr17:24886350-24886350	-1	148.0	1717.0	2071.0	1935.0	2127.0	2239.5	937.5	2261.5	617.5
ENSMUSG00000068290	Ddrgk1	chr2:130663819-130663819	-1	647.0	578.0	597.0	400.0	372.0	687.0	763.0	601.0	574.0
ENSMUSG00000035284	Vps13c	chr9:67840396-67840396	1	1263.0	1815.0	895.0	2097.0	2113.0	444.0	383.0	998.5	1553.0
ENSMUSG00000024454	Hdac3	chr18:37945564-37945564	-1	1350.0	1947.0	3381.0	1883.0	1628.0	3096.5	3315.0	1443.5	1446.5
ENSMUSG00000021975	Ints9	chr14:64950045-64950045	1	915.0	1408.0	1514.0	1263.0	1404.0	1927.0	589.0	1575.5	920.0
ENSMUSG00000039405	Prss23	chr7:89517586-89517586	-1	1016.0	9.0	44.0	0.0	8.0	155.0	780.0	60.5	817.5
ENSMUSG00000063802	Hspbp1	chr7:4684963-4684963	-1	446.0	969.0	1206.0	449.0	398.0	1643.0	1917.5	963.0	740.0
ENSMUSG00000032534	Cep63	chr9:102586606-102586606	-1	218.0	279.0	424.0	365.0	355.0	494.0	418.5	583.5	429.5
ENSMUSG00000003604	Aven	chr2:112492964-112492964	1	89.0	613.0	688.0	333.0	292.0	574.5	226.0	486.0	218.0
ENSMUSG00000052299	Ltn1	chr16:87432606-87432606	-1	2237.0	2378.0	2806.0	3185.0	2751.0	1588.0	1038.5	2214.0	2081.5
ENSMUSG00000070047	Fat1	chr8:44935447-44935447	1	7000.0	4606.0	5601.0	8987.0	11965.0	7019.0	1961.5	10246.0	18786.0
ENSMUSG00000063245	Gm13248	chr4:146610961-146610961	1	164.0	1563.0	243.0	1089.0	1039.0	1162.5	120.5	612.5	209.5
ENSMUSG00000046034	Otulin	chr15:27630693-27630693	-1	161.0	415.0	650.0	250.0	389.0	650.5	298.0	706.5	642.0
ENSMUSG00000020160	Meis1	chr11:19018985-19018985	-1	1665.0	41.0	36.0	34.0	53.0	359.5	7455.5	46.5	2482.0
ENSMUSG00000022614	Lmf2	chr15:89355659-89355659	-1	1215.0	848.0	968.0	769.0	1101.0	847.0	609.0	955.5	2611.0
ENSMUSG00000049800	Sertad2	chr11:20543253-20543253	1	1180.0	616.0	486.0	547.0	539.0	458.0	361.0	858.5	1827.5
ENSMUSG00000032026	Rexo2	chr9:48480611-48480611	-1	79.0	951.0	1098.0	687.0	933.0	1980.0	538.5	620.0	724.5
ENSMUSG00000024259	Slc25a46	chr18:31609902-31609902	-1	1751.0	1377.0	1409.0	1295.0	1282.0	1466.0	2007.5	1316.0	1409.5
ENSMUSG00000011158	Brf1	chr12:113000621-113000621	-1	441.0	464.0	449.0	550.0	709.0	451.0	768.0	799.5	937.5
ENSMUSG00000031840	Rab3a	chr8:70754711-70754711	1	1040.0	88.0	44.0	53.0	46.0	20.5	2915.5	47.5	92.0
ENSMUSG00000022570	Tsta3	chr15:75929730-75929730	-1	440.0	1493.0	1022.0	942.0	1035.0	1791.5	779.5	1520.0	885.5
ENSMUSG00000024197	Plin3	chr17:56290511-56290511	-1	3176.0	2561.0	1626.0	3228.0	3407.0	1905.0	196.5	2008.5	2189.0
ENSMUSG00000074781	Ube2n	chr10:95515162-95515162	1	2148.0	3784.0	5365.0	3324.0	3287.0	7096.5	8985.0	4039.0	3439.0
ENSMUSG00000068079	Tcf15	chr2:152143561-152143561	1	4.0	1139.0	17.0	638.0	488.0	324.0	14.5	1882.0	71.0
ENSMUSG00000041685	Fcho2	chr13:98815449-98815449	-1	2204.0	1252.0	1472.0	1481.0	1435.0	709.5	742.5	1444.5	1772.5
ENSMUSG00000063905	Gm10139	chr13:65512678-65512678	1	49.0	377.0	168.0	523.0	546.0	280.5	0.0	509.0	108.5
ENSMUSG00000032497	Lrrfip2	chr9:111118111-111118111	1	679.0	677.0	854.0	750.0	782.0	757.5	619.5	753.0	929.5
ENSMUSG00000026491	Ahctf1	chr1:179803680-179803680	-1	3261.0	10227.0	7178.0	11357.0	10542.0	5737.5	2130.5	12090.0	7711.0
ENSMUSG00000000346	Dazap2	chr15:100615628-100615628	1	6072.0	1469.0	1579.0	1595.0	1579.0	2465.0	3624.5	2322.0	2182.5
ENSMUSG00000044408	Sptssa	chr12:54656572-54656572	-1	887.0	220.0	1717.0	147.0	132.0	708.5	1590.0	315.0	498.5
ENSMUSG00000062198	2700097O09Rik	chr12:55080110-55080110	-1	184.0	610.0	348.0	698.0	699.0	713.5	163.0	534.5	217.0
ENSMUSG00000067071	Hes6	chr1:91413208-91413208	-1	419.0	178.0	608.0	164.0	296.0	1522.0	1338.5	194.5	191.0
ENSMUSG00000007279	Scube2	chr7:109865586-109865586	-1	25.0	63.0	29.0	3.0	58.0	50.0	17.0	21.0	509.5
ENSMUSG00000026058	Khdrbs2	chr1:32172714-32172714	1	976.0	6308.0	1248.0	2924.0	2994.0	9479.5	4475.0	4820.5	2949.5
ENSMUSG00000021361	Tmem14c	chr13:41016250-41016250	1	989.0	986.0	2486.0	754.0	728.0	1248.5	1073.0	838.0	1060.5
ENSMUSG00000063281	Zfp35	chr18:23989632-23989632	1	307.0	750.0	978.0	818.0	711.0	1265.0	712.5	576.0	250.0
ENSMUSG00000035227	Spcs2	chr7:99858883-99858883	-1	2170.0	1623.0	3375.0	1846.0	1714.0	4163.0	4188.5	2085.5	2925.0
ENSMUSG00000064105	Cnnm2	chr19:46761596-46761596	1	322.0	964.0	259.0	655.0	488.0	347.0	352.0	604.0	285.5
ENSMUSG00000055660	Mettl4	chr17:94749892-94749892	-1	648.0	955.0	950.0	852.0	926.0	816.0	391.5	696.5	480.5
ENSMUSG00000025104	Hdgfrp3	chr7:81934473-81934473	-1	1682.0	212.0	622.0	247.0	257.0	880.5	5401.5	225.0	726.0
ENSMUSG00000031948	Kars	chr8:112011288-112011288	-1	4945.0	7002.0	9915.0	10714.0	10249.0	9947.0	5311.0	7452.0	5225.5
ENSMUSG00000058932	Gm2174	chrX:56447965-56447965	1	1.0	10702.0	0.0	8200.0	7079.0	14399.5	10655.0	10135.5	5274.5
ENSMUSG00000036882	Arhgap33	chr7:30534180-30534180	-1	576.0	61.0	221.0	108.0	99.0	113.5	3932.0	44.5	96.5
ENSMUSG00000025198	Erlin1	chr19:44069785-44069785	-1	225.0	818.0	523.0	717.0	560.0	387.0	239.0	870.5	739.5
ENSMUSG00000000439	Mkrn2	chr6:115601938-115601938	1	1102.0	1058.0	605.0	771.0	652.0	708.5	562.0	730.0	357.5
ENSMUSG00000071078	Nr2c2ap	chr8:70131333-70131333	1	160.0	356.0	518.0	714.0	594.0	700.0	150.0	408.0	152.0
ENSMUSG00000095406	Gm18025	chr12:34291092-34291092	-1	2881.0	9558.0	8425.0	7193.0	6931.0	8368.0	4247.5	8071.5	4462.5
ENSMUSG00000047371	Zfp768	chr7:127345314-127345314	-1	898.0	104.0	428.0	47.0	58.0	258.5	1002.5	66.0	253.0
ENSMUSG00000086147	Gm13150	chr4:146971976-146971976	1	186.0	1144.0	471.0	1567.0	1709.0	2049.5	87.0	850.0	317.5
ENSMUSG00000096528	G430049J08Rik	chr18:3471630-3471630	1	27.0	99.0	22.0	779.0	719.0	23.5	35.5	310.5	46.5
ENSMUSG00000024137	E4f1	chr17:24455311-24455311	-1	625.0	457.0	251.0	484.0	398.0	239.0	395.5	336.5	457.5
ENSMUSG00000009670	Tex11	chrX:101059667-101059667	-1	149.0	715.0	237.0	632.0	485.0	355.5	76.0	797.5	644.0
ENSMUSG00000029376	Mthfd2l	chr5:90931196-90931196	1	343.0	51.0	277.0	70.0	66.0	178.5	1071.5	81.5	150.5
ENSMUSG00000054863	Fam19a5	chr15:87625230-87625230	1	77.0	56.0	420.0	48.0	43.0	430.5	3760.0	31.5	54.5
ENSMUSG00000097794	Gm2990	chr14:32465042-32465042	1	7.0	2.0	11.0	0.0	0.0	19.0	906.0	0.0	1.0
ENSMUSG00000030717	Nupr1	chr7:126625676-126625676	-1	20.0	1122.0	56.0	1086.0	721.0	528.0	4.0	67.5	34.0
ENSMUSG00000002329	Mdp1	chr14:55660508-55660508	-1	404.0	319.0	352.0	640.0	537.0	601.0	905.0	448.5	353.5
ENSMUSG00000003309	Ap1m2	chr9:21312333-21312333	-1	52.0	461.0	2584.0	141.0	296.0	305.0	1.5	467.5	257.0
ENSMUSG00000022571	Pycrl	chr15:75921560-75921560	-1	552.0	575.0	1891.0	281.0	277.0	1378.0	834.5	334.5	352.0
ENSMUSG00000095403	Gm21092	chr8:20567716-20567716	1	19626.0	9538.0	1963.0	29462.0	29462.0	5996.5	24184.5	9815.0	12525.0
ENSMUSG00000078870	Gm14410	chr2:177202829-177202829	-1	126.0	107.0	199.0	163.0	132.0	293.0	306.5	124.5	128.5
ENSMUSG00000092012	Gm4782	chr6:50608637-50608637	1	6.0	409.0	4.0	361.0	960.0	7.5	0.0	457.0	82.0
ENSMUSG00000036478	Btg1	chr10:96617001-96617001	1	2079.0	892.0	1170.0	918.0	760.0	694.5	3746.5	1400.0	3954.0
ENSMUSG00000024570	Rbfa	chr18:80200658-80200658	-1	404.0	1027.0	688.0	723.0	746.0	755.5	296.5	1833.5	558.0
ENSMUSG00000031861	Lpar2	chr8:69822429-69822429	1	198.0	223.0	1414.0	223.0	458.0	1153.5	151.0	334.5	1553.5
ENSMUSG00000035173	Ccdc186	chr19:56822190-56822190	-1	1378.0	704.0	513.0	1184.0	1178.0	435.0	755.5	750.0	996.0
ENSMUSG00000021375	Kif13a	chr13:46929718-46929718	-1	3582.0	1206.0	766.0	1763.0	1635.0	984.0	1109.0	981.0	1548.5
ENSMUSG00000040888	Gfer	chr17:24696156-24696156	-1	483.0	1409.0	1021.0	1937.0	1976.0	3048.5	439.0	1360.0	867.5
ENSMUSG00000036840	Siah1a	chr8:86746006-86746006	-1	505.0	488.0	634.0	461.0	370.0	458.5	908.5	455.5	396.0
ENSMUSG00000047379	B3gnt1	chr19:5038826-5038826	1	765.0	179.0	299.0	126.0	235.0	165.0	452.5	100.0	305.0
ENSMUSG00000097542	Gm26751	chr14:55874735-55874735	-1	793.0	46.0	394.0	151.0	144.0	135.0	98.0	177.5	508.5
ENSMUSG00000028233	Tgs1	chr4:3574875-3574875	1	1104.0	1738.0	2014.0	1827.0	1788.0	1313.5	1303.0	2029.5	1093.0
ENSMUSG00000032324	Tspan3	chr9:56161070-56161070	-1	3605.0	1656.0	2345.0	977.0	1009.0	2299.0	7467.5	1550.5	3759.0
ENSMUSG00000025403	Shmt2	chr10:127522444-127522444	-1	2118.0	8807.0	5187.0	5525.0	5081.0	4129.0	1279.0	4807.5	1694.5
ENSMUSG00000040433	Zbtb38	chr9:96752831-96752831	-1	348.0	634.0	217.0	1287.0	1173.0	489.0	230.0	669.0	859.0
ENSMUSG00000023039	Krt7	chr15:101411043-101411043	1	39.0	11.0	10.0	12.0	137.0	22.5	10.0	72.5	1383.0
ENSMUSG00000027584	Oprl1	chr2:181715016-181715016	1	47.0	19.0	12.0	2.0	8.0	52.5	809.5	6.0	59.5
ENSMUSG00000040195	Tmem194	chr10:127666901-127666901	1	881.0	877.0	699.0	1575.0	1248.0	220.5	154.0	403.0	353.5
ENSMUSG00000021366	Hivep1	chr13:42052021-42052021	1	1987.0	471.0	314.0	418.0	453.0	343.0	1346.5	346.0	1214.5
ENSMUSG00000030105	Arl8b	chr6:108783059-108783059	1	3098.0	1765.0	3508.0	1483.0	1417.0	1396.0	2562.0	2312.0	2271.0
ENSMUSG00000063065	Mapk3	chr7:126759601-126759601	1	4380.0	3344.0	3810.0	2685.0	2432.0	4119.0	4059.0	1838.5	1916.0
ENSMUSG00000022771	Ppil2	chr16:17111257-17111257	-1	1368.0	1939.0	1875.0	2193.0	1945.0	2472.5	3076.5	1363.0	1838.5
ENSMUSG00000031485	Prosc	chr8:27042555-27042555	1	1208.0	1346.0	1628.0	1512.0	1868.0	1149.5	716.0	1244.0	3506.0
ENSMUSG00000024800	Rpp30	chr19:36083716-36083716	1	266.0	608.0	762.0	425.0	402.0	1498.0	547.0	566.5	302.0
ENSMUSG00000023923	Tbc1d5	chr17:51179349-51179349	-1	1067.0	575.0	903.0	738.0	687.0	1316.5	709.5	789.0	886.5
ENSMUSG00000033728	Lrrc14	chr15:76710623-76710623	1	100.0	286.0	730.0	80.0	208.0	603.5	526.5	207.5	331.5
ENSMUSG00000071359	Tbpl1	chr10:22731447-22731447	-1	1244.0	518.0	1089.0	493.0	425.0	944.5	2407.5	561.5	661.5
ENSMUSG00000029817	Tra2a	chr6:49264052-49264052	-1	1362.0	4467.0	4536.0	3164.0	3471.0	4806.0	5302.5	6733.0	3021.5
ENSMUSG00000029461	Fam168a	chr7:100706651-100706651	1	1891.0	1397.0	918.0	1169.0	1325.0	1348.0	4679.0	2062.5	3004.0
ENSMUSG00000025086	Trub1	chr19:57452906-57452906	1	305.0	871.0	839.0	807.0	710.0	915.0	282.0	651.5	303.0
ENSMUSG00000047719	Ubiad1	chr4:148444771-148444771	-1	486.0	527.0	1144.0	496.0	514.0	686.5	451.5	554.5	568.0
ENSMUSG00000003573	Homer3	chr8:70282827-70282827	1	405.0	238.0	407.0	486.0	746.0	731.0	2889.5	248.0	1190.0
ENSMUSG00000015092	Edf1	chr2:25557847-25557847	1	1399.0	2025.0	2261.0	1498.0	1397.0	2906.0	2422.5	1911.5	1593.0
ENSMUSG00000020308	Tpgs1	chr10:79669410-79669410	1	200.0	265.0	139.0	245.0	187.0	1099.0	980.5	190.0	232.5
ENSMUSG00000028990	Lzic	chr4:149485229-149485229	1	755.0	550.0	781.0	700.0	753.0	615.5	348.0	796.5	1064.0
ENSMUSG00000051149	Adnp	chr2:168206922-168206922	-1	8987.0	4447.0	6015.0	4983.0	4983.0	3054.0	5397.5	6337.0	6035.5
